,batch_size,imputation_strategy,learning_rate_scheduler,loss,network,max_dropout,normalization_strategy,optimizer,cosine_annealing_T_max,cosine_annealing_eta_min,activation,max_units,mlp_shape,num_layers,learning_rate,momentum,weight_decay,final_val_accuracy,final_test_accuracy,final_val_balanced_accuracy,final_test_balanced_accuracy
0,71,mean,cosine_annealing,cross_entropy_weighted,shapedmlpnet,0.025926231827891333,standardize,sgd,50,1e-08,relu,293,funnel,3,0.0018243300267253295,0.21325193168301043,0.020472816917443872,75.23012552301255,75.23012552301255,75.23012552301255,75.23012552301255
1,457,mean,cosine_annealing,cross_entropy_weighted,shapedmlpnet,0.5472322491757223,standardize,sgd,50,1e-08,relu,950,funnel,4,0.01239328605026128,0.16411425552061212,0.09762768273307641,73.05439330543933,73.05439330543933,73.05439330543933,73.05439330543933
2,352,mean,cosine_annealing,cross_entropy_weighted,shapedmlpnet,0.3319798053011772,standardize,sgd,50,1e-08,relu,623,funnel,True,0.0002103633313740744,0.39125038484728947,0.05298643804566024,62.17573221757322,62.17573221757322,62.17573221757322,62.17573221757322
3,329,mean,cosine_annealing,cross_entropy_weighted,shapedmlpnet,0.968540662820932,standardize,sgd,50,1e-08,relu,712,funnel,3,0.0004990970282009203,0.10264765935201169,0.04305257714106613,66.35983263598327,66.35983263598327,66.35983263598327,66.35983263598327
4,16,mean,cosine_annealing,cross_entropy_weighted,shapedmlpnet,0.5018745921487388,standardize,sgd,50,1e-08,relu,252,funnel,True,0.0002668905866905689,0.16504588833160305,0.04185663296924015,69.3723849372385,69.3723849372385,69.3723849372385,69.3723849372385
5,230,mean,cosine_annealing,cross_entropy_weighted,shapedmlpnet,0.0207519493594015,standardize,sgd,50,1e-08,relu,370,funnel,4,0.0031298320746735286,0.1674231280918207,0.019814305847314802,76.65271966527196,76.65271966527196,76.65271966527196,76.65271966527196
6,29,mean,cosine_annealing,cross_entropy_weighted,shapedmlpnet,0.019475241487624584,standardize,sgd,50,1e-08,relu,230,funnel,4,0.0018222619787163098,0.304304450022221,0.0012879536509149588,75.14644351464436,75.14644351464436,75.14644351464436,75.14644351464436
7,27,mean,cosine_annealing,cross_entropy_weighted,shapedmlpnet,0.7400496965154048,standardize,sgd,50,1e-08,relu,132,funnel,3,0.00011059229929511224,0.8217445949831458,0.09007247826316006,72.46861924686192,72.46861924686192,72.46861924686192,72.46861924686192
8,94,mean,cosine_annealing,cross_entropy_weighted,shapedmlpnet,0.7731650520792968,standardize,sgd,50,1e-08,relu,715,funnel,True,0.000849586839797424,0.8983053483297235,0.051316540059666044,72.30125523012553,72.30125523012553,72.30125523012553,72.30125523012553
9,302,mean,cosine_annealing,cross_entropy_weighted,shapedmlpnet,0.17889592492099848,standardize,sgd,50,1e-08,relu,74,funnel,2,0.000670197472749198,0.3370442147730286,0.030598832384434244,57.65690376569038,57.65690376569038,57.65690376569038,57.65690376569038
